DATAFLOW,LAST UPDATE,freq,age,statinfo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2018,29.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2019,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2020,31.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2021,31.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2022,31.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2023,31.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CH,2024,31.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2014,34.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2015,33.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2016,32.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2017,30.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2018,29.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2019,31.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2020,29.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2021,29.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2022,29.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2023,29.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2024,30.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CY,2025,31.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2014,25.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2015,25.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2016,25.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2017,24.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2018,24.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2019,24.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2020,24.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2021,24.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2022,24.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2023,24.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2024,23.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,CZ,2025,24.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2014,30.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2015,30.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2016,29.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2017,29.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2018,31.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2019,29.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2020,30.5,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2021,31.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2022,29.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2023,29.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2024,29.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DE,2025,30.1,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2014,27.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2015,27.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2016,27.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2017,27.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2018,27.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2019,27.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2020,27.3,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2021,27.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2022,27.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2023,28.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2024,28.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,DK,2025,28.2,,
